Date,Time,SiteID,Temp_Inst,DO_Inst,pH_Inst,Depth
2023-05-15,13:35:19,LOUA008A,17.454,1.23,7.13,3.421
2023-05-15,13:35:33,LOUA008A,16.495,0.84,6.91,3.577
2023-05-15,13:35:47,LOUA008A,15.454,0.62,6.55,3.744
2023-05-15,13:36:32,LOUA008A,14.484,0.33,5.88,4.058
2023-05-15,13:36:40,LOUA008A,14.101,0.3,5.77,4.298
2023-05-15,11:48:53,LOUA010A,28.806,9.75,8.22,0.303
2023-05-15,11:49:42,LOUA010A,28.244,9.83,8.33,0.53
2023-05-15,11:51:39,LOUA010A,27.251,9.97,8.44,0.961
2023-05-15,11:52:03,LOUA010A,26.272,9.25,8.17,1.438
2023-05-15,11:52:20,LOUA010A,25.27,7.03,7.89,1.683
2023-05-15,11:52:40,LOUA010A,24.266,3.11,7.58,2.242
2023-05-15,11:53:08,LOUA010A,24.131,1.88,7.32,2.244
2023-05-22,09:15:00,LARK026A,24.958,7.8,8.14,0.458
2023-05-22,09:15:33,LARK026A,24.939,7.72,8.12,1.004
2023-05-22,09:16:05,LARK026A,24.674,6.97,7.87,2.003
2023-05-22,09:16:26,LARK026A,24.477,6.6,7.67,2.202
2023-05-30,10:05:15,LWHI001A,26.942,7.88,8.09,0.342
2023-05-30,10:05:44,LWHI001A,26.846,6.42,7.9,0.545
2023-05-30,10:05:54,LWHI001A,26.613,4.49,7.71,0.743
2023-05-30,10:06:03,LWHI001A,26.36,3.17,7.66,0.944
2023-05-30,10:06:17,LWHI001A,25.988,2.15,7.59,1.148
2023-05-30,12:54:24,LWHI005A,28.958,9.63,9.17,0.359
2023-05-30,12:54:45,LWHI005A,28.919,9.5,9.17,1.206
2023-05-30,12:55:02,LWHI005A,27.914,9.06,9.22,1.637
2023-05-30,12:55:24,LWHI005A,26.916,7.45,8.58,1.935
2023-05-30,12:55:54,LWHI005A,26.174,5.97,8.16,2.912
2023-05-30,12:56:14,LWHI005A,25.182,1.56,7.92,3.596
2023-05-30,12:56:27,LWHI005A,24.254,0.82,7.86,4.599
2023-05-30,12:56:36,LWHI005A,23.193,0.69,7.83,4.724
2023-05-30,12:56:45,LWHI005A,22.172,0.62,7.78,4.788
2023-05-30,12:56:56,LWHI005A,21.179,0.49,7.72,5.026
2023-05-30,12:57:03,LWHI005A,20.716,0.46,7.69,6.12
2023-05-30,12:57:17,LWHI005A,19.861,0.38,7.67,6.212
2023-06-13,08:28:25,LWHI023,26.01,9.32,8.92,0.106
2023-06-13,08:28:44,LWHI023,26.015,9.34,8.92,1.045
2023-06-13,08:29:16,LWHI023,25.978,9.33,8.94,2.011
2023-06-13,08:30:01,LWHI023,25.956,9.3,8.95,3.018
2023-06-13,08:30:42,LWHI023,24.936,8.81,8.67,3.794
2023-06-13,08:30:50,LWHI023,23.995,8.63,8.66,3.961
2023-06-13,08:30:52,LWHI023,23.731,8.59,8.67,4.022
2023-06-13,08:31:01,LWHI023,22.728,8.4,8.66,4.187
2023-06-13,08:31:11,LWHI023,21.767,7.16,8.6,4.419
2023-06-13,08:31:22,LWHI023,20.761,5.93,8.62,4.693
2023-06-13,08:31:32,LWHI023,19.806,4.91,8.64,4.859
2023-06-13,08:31:40,LWHI023,18.867,4.35,8.64,5.037
2023-06-13,08:31:47,LWHI023,17.936,3.66,8.65,5.197
2023-06-13,08:31:53,LWHI023,16.942,2.95,8.67,5.443
2023-06-13,08:32:02,LWHI023,15.975,2.42,8.72,5.64
2023-06-13,08:32:10,LWHI023,14.99,2.1,8.7,5.831
2023-06-13,08:32:15,LWHI023,14.573,1.93,8.74,6
2023-06-13,08:32:25,LWHI023,13.559,2.37,8.78,6.233
2023-06-13,08:32:47,LWHI023,12.565,1.96,8.63,6.383
2023-06-13,08:33:32,LWHI023,11.546,0.64,8.36,6.933
2023-06-13,08:33:42,LWHI023,11.364,0.58,8.31,7.05
2023-06-13,08:34:44,LWHI023,10.49,0.41,8.08,8.051
2023-06-13,08:36:14,LWHI023,10.216,0.37,7.8,8.511
2023-06-12,15:00:51,LWHI027,26.876,7.93,8.13,0.097
2023-06-12,15:01:03,LWHI027,26.826,7.91,8.1,1.016
2023-06-12,15:01:19,LWHI027,26.637,7.87,8.11,2.086
2023-06-12,15:01:30,LWHI027,26.464,7.88,8.13,3.042
2023-06-12,15:01:36,LWHI027,25.452,7.54,8.15,3.546
2023-06-12,15:01:38,LWHI027,24.496,7.95,8.16,3.624
2023-06-12,15:01:39,LWHI027,24.14,8.09,8.16,3.687
2023-06-12,15:01:42,LWHI027,23.556,8.24,8.17,3.874
2023-06-12,15:01:44,LWHI027,22.941,8.35,8.18,4.036
2023-06-12,15:01:45,LWHI027,22.525,8.44,8.19,4.116
2023-06-12,15:01:48,LWHI027,21.626,8.68,8.18,4.267
2023-06-12,15:01:52,LWHI027,20.568,8.88,8.17,4.488
2023-06-12,15:01:57,LWHI027,19.585,8.06,8.12,4.904
2023-06-12,15:02:04,LWHI027,18.502,6.49,8.01,5.463
2023-06-12,15:02:07,LWHI027,17.682,6.01,7.99,5.731
2023-06-12,15:02:10,LWHI027,16.78,5.58,7.97,6.015
2023-06-12,15:02:14,LWHI027,15.65,5.02,7.96,6.334
2023-06-12,15:02:18,LWHI027,14.67,4.58,7.95,6.603
2023-06-12,15:02:23,LWHI027,13.681,4.05,7.94,6.854
2023-06-12,15:02:27,LWHI027,13.041,3.61,7.91,7.072
2023-06-12,15:02:34,LWHI027,12.006,3.01,7.88,7.525
2023-06-12,15:02:44,LWHI027,11.243,2.38,7.82,8.077
2023-06-12,15:03:01,LWHI027,10.471,1.57,7.72,9.057
2023-06-12,15:03:21,LWHI027,10.091,0.92,7.58,10.055
2023-06-12,15:03:40,LWHI027,9.769,0.66,7.47,11.051
2023-06-12,15:04:00,LWHI027,9.612,0.52,7.39,12.059
2023-06-12,15:04:16,LWHI027,9.461,0.45,7.33,13.074
2023-06-12,15:04:38,LWHI027,9.306,0.4,7.23,14.069
2023-06-12,15:05:42,LWHI027,9.264,0.37,7.12,14.783
2023-06-12,13:21:50,LWHI028,26.673,8.27,8.08,0.14
2023-06-12,13:22:00,LWHI028,26.675,8.28,8.2,1.025
2023-06-12,13:22:22,LWHI028,26.524,8.29,8.29,2.043
2023-06-12,13:22:56,LWHI028,26.439,8.34,8.32,3.001
2023-06-12,13:23:15,LWHI028,25.249,7.83,8.28,4.063
2023-06-12,13:23:17,LWHI028,24.247,8.03,8.22,4.254
2023-06-12,13:23:19,LWHI028,23.315,8.2,8.16,4.506
2023-06-12,13:23:23,LWHI028,22.244,8.12,8.12,4.759
2023-06-12,13:23:27,LWHI028,21.139,7.91,8.06,5.148
2023-06-12,13:23:32,LWHI028,20.132,7.37,8.03,5.321
2023-06-12,13:23:38,LWHI028,19.203,6.66,7.98,5.808
2023-06-12,13:23:43,LWHI028,18.26,6.09,7.95,6.134
2023-06-12,13:23:52,LWHI028,17.254,4.1,7.87,6.711
2023-06-12,13:23:58,LWHI028,16.717,3.03,7.82,7
2023-06-12,13:24:08,LWHI028,15.783,1.8,7.75,7.718
2023-06-12,13:24:11,LWHI028,15.32,1.58,7.73,8.009
2023-06-12,13:24:17,LWHI028,14.281,1.23,7.71,8.534
2023-06-12,13:24:23,LWHI028,13.299,1,7.7,9.139
2023-06-12,13:24:32,LWHI028,12.153,0.9,7.69,9.73
2023-06-12,13:24:37,LWHI028,11.744,0.98,7.67,10.095
2023-06-12,13:25:04,LWHI028,11.037,1.5,7.55,10.749
2023-07-10,11:44:28,LARK012A,28.925,9.65,9.01,0.105
2023-07-10,11:44:36,LARK012A,28.31,8.9,8.81,1.005
2023-07-10,11:44:43,LARK012A,27.981,7.33,8.55,2.186
2023-07-10,11:44:49,LARK012A,27.354,4.96,8.24,3.18
2023-07-10,11:44:55,LARK012A,26.037,2.33,7.97,3.93
2023-07-10,11:44:57,LARK012A,25.124,1.94,7.94,4.082
2023-07-10,11:44:59,LARK012A,24.304,1.77,7.91,4.383
2023-07-10,11:45:00,LARK012A,23.224,1.56,7.9,4.561
2023-07-10,11:45:02,LARK012A,22.305,1.37,7.87,4.854
2023-07-10,11:45:04,LARK012A,21.389,1.25,7.86,5.197
2023-07-10,11:45:05,LARK012A,20.484,1.2,7.85,5.377
2023-07-10,11:45:07,LARK012A,19.562,1.13,7.84,5.597
2023-07-10,11:45:11,LARK012A,18.527,0.96,7.82,6.165
2023-07-10,11:45:18,LARK012A,17.691,0.76,7.76,6.977
2023-07-10,11:45:25,LARK012A,16.723,0.63,7.68,7.907
2023-07-10,11:45:35,LARK012A,15.922,0.54,7.61,8.906
2023-07-10,16:43:00,LARK014A,29.266,9.77,8.99,0.1
2023-07-10,16:43:26,LARK014A,28.541,10.05,9.05,1.005
2023-07-10,16:44:01,LARK014A,27.921,9.59,8.91,2.015
2023-07-10,16:44:30,LARK014A,26.932,5.54,8.19,2.597
2023-07-10,16:44:47,LARK014A,25.912,2.95,7.8,3.034
2023-07-10,16:45:01,LARK014A,24.934,1.39,7.72,3.311
2023-07-10,16:45:11,LARK014A,23.985,1.26,7.7,3.533
2023-07-10,16:45:23,LARK014A,22.953,0.75,7.64,3.811
2023-07-10,16:45:35,LARK014A,21.876,0.54,7.61,4.125
2023-07-10,16:45:42,LARK014A,20.98,0.47,7.62,4.353
2023-07-10,16:45:53,LARK014A,19.911,0.42,7.63,4.681
2023-07-10,16:46:04,LARK014A,18.951,0.37,7.64,5.048
2023-07-10,16:46:20,LARK014A,17.968,0.34,7.67,5.594
2023-07-10,16:46:37,LARK014A,16.943,0.32,7.68,6.201
2023-07-10,16:47:13,LARK014A,15.942,0.28,7.62,7.102
2023-07-10,16:48:26,LARK014A,15.317,0.28,7.47,7.864
2023-09-26,13:05:39,LARK026A,26.54,9.58,9.2,0.316
2023-09-26,13:06:02,LARK026A,26.53,9.88,9.19,0.563
2023-09-26,13:06:04,LARK026A,26.429,9.04,8.8,0.996
2023-09-26,13:06:09,LARK026A,25.92,7.36,8.39,1.54
2023-09-26,13:06:28,LARK026A,25.649,4.65,7.94,1.875
2023-07-11,08:31:58,LARK038,26.682,10.43,8.16,0.14
2023-07-11,08:32:11,LARK038,27.229,11.92,8.09,0.665
2023-07-11,08:32:26,LARK038,27.253,12.17,8.07,1.112
2023-07-11,08:32:41,LARK038,27.249,12.09,8.02,1.604
2023-07-11,08:32:56,LARK038,26.487,8.16,7.62,2.097
2023-07-11,08:33:09,LARK038,25.68,5.53,7.47,2.364
2023-07-10,14:01:21,LARK039,30.142,11.4,9.66,0.112
2023-07-10,14:01:46,LARK039,29.17,10.98,9.64,1.03
2023-07-10,14:01:52,LARK039,28.107,11.01,9.63,1.254
2023-07-10,14:02:05,LARK039,27.516,8.2,8.83,2.034
2023-07-10,14:02:18,LARK039,26.516,3.23,8.24,2.737
2023-07-10,14:02:25,LARK039,25.418,1.93,8.03,2.99
2023-07-10,14:02:29,LARK039,24.563,1.5,7.94,3.136
2023-07-10,14:02:33,LARK039,23.437,1.2,7.9,3.3
2023-07-10,14:02:37,LARK039,22.491,1.02,7.88,3.452
2023-07-10,14:02:42,LARK039,21.488,0.87,7.88,3.612
2023-07-10,14:02:49,LARK039,20.507,0.74,7.86,3.799
2023-07-10,14:02:58,LARK039,19.512,0.65,7.84,4.048
2023-07-10,14:03:07,LARK039,18.513,0.57,7.82,4.391
2023-07-10,14:03:17,LARK039,17.491,0.51,7.8,4.737
2023-07-10,14:03:31,LARK039,16.502,0.48,7.8,5.178
2023-07-10,14:03:43,LARK039,15.561,0.43,7.79,5.637
2023-07-10,14:03:50,LARK039,14.543,0.4,7.82,6.118
2023-07-10,14:03:57,LARK039,13.583,0.39,7.83,6.558
2023-07-10,14:04:10,LARK039,12.514,0.38,7.76,6.956
2023-07-10,14:05:18,LARK039,12.139,0.33,7.39,7.344
2023-07-11,09:52:24,LNEO001A,27.706,9.32,8.74,0.342
2023-07-11,09:52:47,LNEO001A,27.707,9.28,8.69,1.077
2023-07-11,09:52:56,LNEO001A,27.655,9.25,8.7,2.097
2023-07-11,09:53:01,LNEO001A,26.986,7.2,8.23,3.062
2023-07-11,09:53:06,LNEO001A,25.965,4.16,8.05,3.656
2023-07-11,09:53:10,LNEO001A,24.945,2.61,7.95,4.235
2023-07-11,09:53:12,LNEO001A,23.76,2.14,7.9,4.479
2023-07-11,09:53:14,LNEO001A,22.553,1.95,7.81,4.726
2023-07-11,09:53:17,LNEO001A,21.64,1.63,7.76,4.986
2023-07-11,09:53:20,LNEO001A,20.794,1.37,7.73,5.311
2023-07-11,09:53:23,LNEO001A,19.736,1.19,7.73,5.648
2023-07-11,09:53:26,LNEO001A,18.958,1.03,7.75,6.026
2023-07-11,09:53:29,LNEO001A,17.662,0.94,7.76,6.27
2023-07-11,09:53:32,LNEO001A,16.659,0.88,7.8,6.603
2023-07-11,09:53:38,LNEO001A,15.672,0.79,7.86,6.853
2023-07-11,09:53:49,LNEO001A,14.697,0.64,7.87,7.863
2023-07-11,09:54:01,LNEO001A,13.973,0.54,7.8,8.87
2023-07-11,09:54:10,LNEO001A,13.599,0.5,7.71,9.261
2023-09-25,09:49:02,LOUA004A,25.653,7.52,7.15,0.487
2023-09-25,09:49:33,LOUA004A,25.548,7.23,7.08,1
2023-09-25,09:49:49,LOUA004A,25.269,5.36,6.71,2.019
2023-09-25,09:50:14,LOUA004A,25.037,3.36,6.47,3.021
2023-09-25,09:50:38,LOUA004A,25.004,3.03,6.48,3.54
2023-08-29,09:51:01,LOUA005A,30.988,6.02,6.74,0.536
2023-08-29,09:51:14,LOUA005A,30.98,6.04,6.73,1.007
2023-08-29,09:51:24,LOUA005A,30.987,6.02,6.71,2.102
2023-08-29,09:51:34,LOUA005A,30.987,5.99,6.71,3.08
2023-08-29,09:51:45,LOUA005A,30.913,4.99,6.68,4.054
2023-08-29,09:51:50,LOUA005A,29.868,2.73,6.48,4.49
2023-08-29,09:51:54,LOUA005A,28.92,1.76,6.43,4.798
2023-08-29,09:51:57,LOUA005A,27.877,1.51,6.38,4.952
2023-09-26,09:41:19,LOUA006A,27.102,8.56,9.2,0.4
2023-09-26,09:41:25,LOUA006A,27.095,8.57,9.19,1.175
2023-09-26,09:41:33,LOUA006A,27.065,8.62,9.19,2.039
2023-09-26,09:41:42,LOUA006A,27.024,8.45,8.86,3.174
2023-09-26,09:41:55,LOUA006A,26.978,7.06,8.73,3.625
2023-09-25,14:24:49,LOUA007A,27.136,9.4,8.32,0.419
2023-09-25,14:25:03,LOUA007A,26.746,7.5,7.66,1.029
2023-09-25,14:25:23,LOUA007A,26.386,3.46,6.9,2.084
2023-09-25,14:25:49,LOUA007A,26.328,1.96,6.69,3.053
2023-09-25,13:22:36,LOUA008A,26.389,8.99,6.87,0.418
2023-09-25,13:22:49,LOUA008A,26.196,8.86,6.85,1.025
2023-09-25,13:23:10,LOUA008A,25.628,3.83,6.19,2.001
2023-09-25,13:23:26,LOUA008A,24.55,1.27,5.78,3.004
2023-09-25,13:23:36,LOUA008A,23.52,0.8,5.74,3.456
2023-09-25,12:20:41,LOUA010A,26.585,7.85,7.38,0.382
2023-09-25,12:20:46,LOUA010A,26.609,7.91,7.38,0.552
2023-09-25,12:20:57,LOUA010A,26.269,6.57,7.23,1.022
2023-09-25,12:21:12,LOUA010A,26.141,5.35,7.09,1.519
2023-09-25,12:21:29,LOUA010A,26.07,4.72,7.03,2.012
2023-08-29,08:56:48,LOUA012A,30.688,5.12,6.77,0.291
2023-08-29,08:56:57,LOUA012A,30.693,5.03,6.72,1.077
2023-08-29,08:57:13,LOUA012A,30.692,4.93,6.71,2.056
2023-08-29,08:57:26,LOUA012A,30.537,4.54,6.72,3.025
2023-08-29,08:57:33,LOUA012A,29.524,2.54,6.45,3.452
2023-08-29,08:57:40,LOUA012A,28.547,1.46,6.58,3.52
2023-08-29,08:57:56,LOUA012A,27.554,0.63,6.82,3.724
2023-08-29,10:35:49,LOUA026A,30.648,3.8,6.49,0.533
